IL 1103   277389   274242   264778   260210   263350   262267   268363   276563   281614   256445   255114
IL 1104   362206   382799   407052   456673   485419   541422   611852   667814   718449   678898   707767
IL 1105   266974   280603   294735   307488   319781   367256   426790   464671   474185   459108   471451
IL 1106   398034   452206   490004   514252   527677   562501   613685   651839   675961   667483   692910
IL 1107   343457   354378   338039   315073   345625   326084   319436   318440   344229   329038   337308
IL 1108   285630   327680   343003   355822   379081   404290   452670   491624   497766   493423   494209
IL 1109   250265   276277   317225   298669   304405   287025   250879   241770   268342   259693   262932
IN 1201   177779   227691   307755   418094   463081   571652   762812   836780   864044   820823   861318
IN 1202   284597   310929   335665   398151   410144   478338   560712   601020   629441   652703   712674
IN 1203   258011   270874   287071   313981   327967   370524   437022   507896   546734   568175   635442
IN 1204   268293   292005   303306   293470   297470   323210   344093   373362   396514   396359   432173
IN 1205   611535   666227   754863   842068   897972  1048922  1328044  1536543  1602615  1660428  1899978
IN 1206   209868   218343   229361   245524   267050   303298   337043   369402   369344   342550   342095
IN 1207   346410   366596   377476   378524   401686   427328   429626   444059   477243   473142   501206
IN 1208   210395   208523   200952   218353   224468   250049   277438   320386   367250   387508   425031
IN 1209   149574   139688   133941   130338   137958   160903   185708   204221   237039   242471   270568
IA 1301   214503   225041   260040   268689   277506   276781   277608   266878   268166   249279   253932
IA 1302   175863   172830   197945   202659   212047   212406   212536   199227   196211   177077   172771
IA 1303   275334   274341   289770   301414   319388   343384   375538   392215   403073   365688   374608
IA 1304   220295   210470   225251   232213   228959   218339   209272   195374   189721   171436   173053
IA 1305   346638   373712   432590   464641   489281   530800   585956   619456   647317   651900   720621
IA 1306   312995   320781   345355   358245   379028   426115   497867   568782   609723   600274   652288
IA 1307   201182   188415   193099   202333   193106   187494   188335   180638   182233   168398   173259
IA 1308   250740   238524   238777   219834   217873   198627   185080   181907   195824   186268   196917
IA 1309   234303   220657   221194   220911   221080   227127   225345   219899   221540   206435   208875
KS 1401    44010    54395    54964    61983    53075    49640    46438    43576    41420    37154    35050
KS 1402   168347   167497   155383   147082   130351   114441   101652    89683    83729    73189    68809
KS 1403   275676   292183   300103   317935   305977   318956   341821   355427   358068   359398   360803
KS 1404    17866    34185    33483    40216    34738    36710    35218    33529    32056    29013    26918
KS 1405   150895   171534   180912   187485   193605   193281   212296   196700   201358   194797   201777
KS 1406   297801   303416   311364   344239   341387   390874   521203   624706   698028   800361   932885
KS 1407    21135    51266    63135    85336    68068    86698    94008    98019   107537   122077   141515
KS 1408   171339   244945   271346   319088   322221   393372   518859   516176   539108   569963   620092
KS 1409   323426   371528   398567   377635   351606   321327   307116   288762   302375   291622   300569
KY 1501   507824   528541   517720   508988   534190   513508   532558   557868   623033   626016   659506
KY 1502   568142   606089   633189   682547   747893   857521   994288  1105651  1181238  1170802  1274075
KY 1503   607802   605143   607838   640816   665016   705716   779300   877452  1012066  1080090  1268331
KY 1504   463406   550132   657883   782238   898528   868061   732010   677735   844440   808388   839857
LA 1601   119217   137021   173253   227773   262754   287051   353462   364689   410643   408925   425200
LA 1602   121086   151507   155196   192185   204690   205069   224340   241810   278349   279158   287352
LA 1603    83376    92428   107486   140534   161823   152776   141195   129826   131539   117566   116696
LA 1604    59851    74432    80719    83668    84790    78742    73139   107049   118185   120510   114612
LA 1605   189089   217532   241184   256049   290225   308878   340062   350573   387855   371851   380560
LA 1606   159087   196332   216499   272585   305191   397063   507152   593064   755229   811393   929592
LA 1607    86305   134998   164105   179861   215068   255086   323834   337651   382197   383120   415089
LA 1608   153312   177683   155585   160292   187302   207400   265772   314358   376368   392481   426425
LA 1609   410302   474455   504482   588646   652037   791451  1028066  1202286  1365535  1334969  1373450
ME 1701    75715    91418    99006   105238   112286   115061   126258   112555   113590   110786    97507
ME 1702   296876   322492   333729   352209   369500   397614   421288   432677   485873   521709   527485
ME 1703   321875   328461   335279   339976   365440   401099   421719   446816   525197   595433   649931
MD 1801    70081    75563    75516    76658    77181    83972    92873    98065   115100   133283   156417
MD 1802    65074    67935    65252    63120    64653    65799    71103    73367    80229    89136    95919
MD 1803    45048    43809    43694    41387    43557    66675    91453   122572   174166   235314   288491
MD 1804   407992   472275   608313   695235   922878  1232661  1461745  1860335  1815923  1919460  2024207
MD 1805    35073    31908    29297    27208    26387    26685    30268    32648    39871    48945    56477
MD 1806   729823   805933   919629  1054069  1176244  1484679  1927169  2289145  2417045  2745437  3018686
MD 1807    88056    99685   115524   129114   138595   150200   157164   168877   174603   177628   187488
MD 1808    25615    29307    30007    31604    34840    34508    32870    33900    38371    39165    40860
MA 1901   110559   122433   133531   142443   143872   156889   168971   178812   175577   171545   167648
MA 1902  1474763  1759645  2049228  2320808  2371950  2601942  2923775  3234909  3201048  3340331  3491578
MA 1903  1220024  1484338  1669597  1786363  1800899  1931683  2055832  2275449  2360412  2504549  2689871
MI 2001   191469   241178   242439   228017   224888   203286   201802   202403   216725   207420   202459
MI 2002    69593    84083    89780    90297    98269    98594   103724   101544   102606   106061   114685
MI 2003   146629   162629   130595   115519   127532   133968   137577   156634   206068   228476   278367
MI 2004    83962    94384    85889    77553    91003    99772   118335   143053   179792   194669   219456
MI 2005    94970   104803   119404   138165   152521   184572   217577   231447   248354   253762   284596
MI 2006   155536   155671   157115   144940   166461   185976   222040   266237   321866   334253   379775
MI 2007   257849   269994   276043   289265   312449   353236   416728   465363   496670   469146   476966
